TargetRepo,Occurrences,Category
x4nth055/pythoncode-tutorials,790,Tutorial
quic/aimet,250,Library
google-research/language,224,Repository
kubeflow/kubeflow,107,Toolkit
tensorflow/tensorflow,87,Framework
guess-js/guess,72,Library
triton-inference-server/server,62,MLOps
jonaswinkler/paperless-ng,48,Tool
ahmetozlu/tensorflow_object_counting_api,45,Framework
h2oai/h2o-3,42,Engine
kubeflow/pipelines,41,Repository
kserve/kserve,39,Engine
nmap/nmap,29,Language
apache/spark,24,Engine
LibrePhotos/librephotos,24,Tool
argoproj/argo-workflows,24,Engine
jfkirk/tensorrec,22,Framework
mlrun/mlrun,21,MLOps
RasaHQ/rasa,19,Framework
NVIDIA/DALI,16,Library
ray-project/ray,16,Engine
apache/airflow,15,MLOps
4paradigm/OpenMLDB,15,Database
elyra-ai/elyra,12,Toolkit
kubeflow/katib,11,Toolkit
OpenBB-finance/OpenBB,9,Tool
feast-dev/feast,8,Library
jupyterlab/jupyterlab,8,Framework
jupyter/notebook,8,Framework
capitalone/DataProfiler,7,Library
alan-ai/alan-sdk-web,7,MLOps
open-metadata/OpenMetadata,7,Platform
SeldonIO/seldon-core,6,Framework
pandas-dev/pandas,6,Library
tf-encrypted/tf-encrypted,6,Framework
mosaicml/composer,5,Library
xorbitsai/inference,5,Library
BindsNET/bindsnet,4,Library
isl-org/Open3D,4,Library
gradio-app/gradio,3,Library
alkaline-ml/pmdarima,3,Library
tesseract-ocr/tesseract,2,Library
deeppavlov/DeepPavlov,2,Library
azavea/raster-vision,2,Library
numpy/numpy,2,Library
explosion/thinc,2,Library
kedro-org/kedro,2,Framework
microsoft/qlib,2,Platform
autogluon/autogluon,2,Library
jupyter-server/jupyter_server,2,Tool
davisking/dlib,2,Toolkit
infiniflow/ragflow,2,Tool
devAmoghS/Machine-Learning-with-Python,2,Repository
photoprism/photoprism,1,Tool
microsoft/nni,1,Toolkit
DragonComputer/Dragonfire,1,Tool
Vedenin/useful-java-links,1,Repository
shobrook/BitVision,1,Tool
vespa-engine/vespa,1,Framework
deepchecks/deepchecks,1,Library
Lightning-AI/pytorch-lightning,1,Framework
keras-team/keras,1,Framework
catboost/catboost,1,Library
ydataai/ydata-profiling,1,Library
Cloud-CV/EvalAI,1,Platform
huggingface/datasets,1,Library
flyteorg/flyte,1,MLOps
doccano/doccano,1,Tool
wandb/wandb,1,Platform
JuliaLang/julia,1,Language
Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,1,Tool
heavyai/heavydb,1,Engine
kermitt2/grobid,1,Tool
explosion/spaCy,1,Library
shimat/opencvsharp,1,Library
Xtremilicious/projectlearn-project-based-learning,1,Tutorial
scikit-learn/scikit-learn,1,Library
netdata/netdata,1,Platform
iterative/dvc,1,Tool
deepjavalibrary/djl,1,Framework
pytorch/pytorch,1,Framework
pytorch/opacus,1,Library
pytorch/serve,1,Tool
recommenders-team/recommenders,1,Tutorial
FedML-AI/FedML,1,Library
PaddlePaddle/Paddle,1,Framework
